Humidity Value,Temperature Value,Soil moisture value,<br>
33,64,21,<br>
84,83,67,<br>
65,3,3,<br>
87,14,16,<br>
15,41,49,<br>
65,79,52,<br>
15,82,62,<br>
41,26,36,<br>
48,24,9,<br>
59,19,69,<br>
93,90,77,<br>
58,81,5,<br>
73,97,49,<br>
87,50,94,<br>
37,88,12,<br>
73,47,88,
72,11,57,
82,91,53,
72,31,89,
47,55,75,
41,63,44,
99,41,40,
98,51,49,
32,90,19,
12,66,35,
81,95,38,
37,10,34,
59,41,57,
68,2,83,
84,15,55,
80,69,73,
31,39,95,
11,38,94,
9,18,2,
86,51,71,
39,4,30,
65,91,57,
15,83,19,
78,51,100,
36,5,68,
5,3,34,
37,11,74,
26,28,66,
66,53,85,
77,62,71,
69,79,32,
59,37,65,
91,13,92,
37,55,9,
65,67,9,
27,5,13,
78,96,81,
57,64,34,
90,45,75,
62,32,20,
96,5,63,
50,93,18,
45,2,22,
7,91,90,
48,87,45,
51,12,14,
20,66,53,
24,75,2,
75,5,48,
65,64,81,
1,38,13,
34,81,54,
25,29,33,
70,7,91,
19,91,96,
17,39,55,
64,3,75,
54,100,19,
76,60,90,
50,41,77,
71,89,78,
84,94,94,
73,41,51,
33,17,90,
70,17,8,
15,44,26,
46,64,4,
22,72,84,
20,66,30,
54,100,100,
49,96,25,
43,52,17,
99,46,50,
67,24,1,
97,85,92,
19,73,100,
86,52,28,
33,62,66,
10,26,57,
82,73,24,
81,7,84,
89,82,42,
65,63,22,
23,10,68,
54,4,59,
60,44,68,
68,43,3,
69,81,79,
25,25,30,
17,43,31,
76,53,44,
85,31,92,
45,55,38,
1,58,91,
2,28,91,
54,59,65,
4,70,94,
62,45,66,
6,88,87,
75,88,18,
25,70,34,
90,2,1,
68,40,100,
4,50,80,
12,66,55,
95,34,61,
50,90,19,
73,38,38,
23,55,24,
59,41,42,
56,76,96,
82,4,18,
70,10,1,
39,29,100,
93,50,52,
85,35,36,
8,44,90,
16,69,7,
63,62,11,
91,8,90,
31,21,51,
98,70,37,
72,1,28,
70,91,68,
18,61,49,
91,91,25,
89,97,59,
55,50,56,
3,45,76,
90,31,44,
43,86,51,
1,83,18,
73,87,47,
35,21,94,
73,61,80,
